yaw,pitch,roll
-71.59,-2.1,-2.76
-71.41,-2.0,-2.59
-71.17,-1.88,-2.43
-70.93,-1.7,-2.33
-70.66,-1.45,-2.31
-70.42,-1.15,-2.37
-70.22,-0.82,-2.51
-70.08,-0.49,-2.75
-70.03,-0.17,-3.07
-70.08,0.12,-3.46
-70.23,0.41,-3.93
-70.47,0.71,-4.46
-70.77,1.03,-5.05
-71.12,1.38,-5.67
-71.48,1.78,-6.32
-71.85,2.23,-6.99
-72.23,2.71,-7.65
-72.59,3.2,-8.28
-72.96,3.67,-8.87
-73.31,4.09,-9.38
-73.64,4.47,-9.8
-73.97,4.8,-10.15
-74.27,5.12,-10.41
-74.55,5.41,-10.61
-74.82,5.67,-10.74
-75.08,5.89,-10.83
-75.34,6.07,-10.86
-75.61,6.23,-10.85
-75.89,6.38,-10.8
-76.19,6.55,-10.73
-76.5,6.76,-10.63
-76.81,6.99,-10.53
-77.09,7.25,-10.43
-77.35,7.52,-10.33
-77.58,7.78,-10.22
-81.66,11.1,-5.08
-65.31,-4.37,-15.51
-66.79,-4.33,-15.64
-68.11,-4.28,-15.52
-69.25,-4.3,-15.18
-70.2,-4.39,-14.65
-70.99,-4.54,-13.96
-71.64,-4.72,-13.15
-72.2,-4.9,-12.28
-72.67,-5.06,-11.37
-73.05,-5.21,-10.45
-73.37,-5.33,-9.53
-73.61,-5.42,-8.61
-73.79,-5.47,-7.71
-73.95,-5.48,-6.82
-74.09,-5.44,-5.96
-69.94,-1.95,0.56
-69.99,-1.93,0.38
-70.0,-1.9,0.23
-70.0,-1.87,0.09
-69.97,-1.86,-0.02
-69.95,-1.84,-0.12
-69.9,-1.85,-0.2
-69.85,-1.84,-0.27
-69.79,-1.85,-0.32
-69.73,-1.85,-0.38
-69.67,-1.85,-0.43
-69.61,-1.85,-0.46
-69.55,-1.84,-0.48
-69.48,-1.84,-0.5
-69.41,-1.83,-0.51
-69.34,-1.84,-0.5
-69.27,-1.86,-0.5
-69.19,-1.86,-0.49
-69.12,-1.87,-0.5
-69.04,-1.87,-0.51
-68.96,-1.86,-0.53
-68.86,-1.86,-0.56
-68.77,-1.84,-0.59
-68.67,-1.81,-0.62
-68.59,-1.79,-0.65
-68.52,-1.76,-0.68
-68.48,-1.75,-0.71
-68.46,-1.75,-0.75
-68.44,-1.74,-0.8
-68.45,-1.73,-0.85
-68.46,-1.71,-0.9
-68.49,-1.7,-0.96
-68.53,-1.7,-1.01
-72.97,-0.79,11.39
-72.09,-0.74,12.11
-71.12,-0.68,12.79
-70.06,-0.6,13.41
-68.93,-0.46,13.91
-67.71,-0.29,14.32
-66.4,-0.1,14.64
-64.98,0.05,14.89
-63.43,0.17,15.06
-61.78,0.24,15.2
-60.03,0.27,15.3
-58.22,0.26,15.37
-56.39,0.2,15.39
-54.62,0.12,15.33
-52.94,0.01,15.16
-51.4,-0.09,14.84
