yaw,pitch,roll
-73.92,6.03,13.33
-72.62,5.81,13.42
-71.34,5.6,13.45
-70.14,5.42,13.4
-69.03,5.3,13.27
-68.0,5.21,13.04
-67.03,5.14,12.71
-66.06,5.05,12.32
-65.06,4.93,11.88
-64.06,4.79,11.43
-63.13,4.65,10.95
-62.28,4.52,10.44
-61.58,4.44,9.89
-61.03,4.38,9.29
-60.58,4.35,8.66
-60.21,4.34,8.01
-59.88,4.34,7.35
-59.57,4.33,6.69
-59.27,4.31,6.04
-58.93,4.26,5.4
-58.55,4.18,4.77
-58.12,4.04,4.19
-57.68,3.88,3.66
-57.22,3.71,3.19
-56.79,3.56,2.75
-56.38,3.42,2.34
-56.02,3.29,1.97
-55.71,3.17,1.62
-55.46,3.03,1.3
-55.76,-0.02,-1.06
-55.83,-0.02,-1.04
-55.91,-0.02,-1.04
-55.97,-0.01,-1.05
-56.04,-0.02,-1.04
-56.12,-0.03,-1.03
-56.18,-0.06,-1.01
-56.24,-0.07,-0.99
-56.3,-0.09,-0.96
-56.36,-0.11,-0.93
-56.42,-0.14,-0.89
-56.46,-0.16,-0.86
-56.51,-0.18,-0.83
-56.56,-0.2,-0.81
-56.6,-0.21,-0.79
-56.65,-0.23,-0.79
-56.69,-0.24,-0.79
-56.73,-0.26,-0.79
-56.77,-0.28,-0.79
-56.8,-0.29,-0.78
-56.83,-0.31,-0.78
-56.85,-0.33,-0.78
-56.86,-0.34,-0.79
-56.89,-0.35,-0.79
-56.91,-0.36,-0.79
-56.92,-0.38,-0.79
-56.94,-0.39,-0.8
-56.94,-0.41,-0.81
-56.93,-0.42,-0.82
-56.92,-0.43,-0.83
-56.9,-0.43,-0.86
-56.88,-0.44,-0.88
-56.85,-0.45,-0.9
-56.83,-0.45,-0.92
-50.62,1.65,-4.13
-50.65,1.56,-4.52
-50.67,1.39,-4.88
-50.68,1.13,-5.2
-50.69,0.78,-5.48
-50.71,0.42,-5.72
-50.76,0.06,-5.92
-50.85,-0.26,-6.12
-50.96,-0.54,-6.37
-51.1,-0.77,-6.67
-51.26,-0.94,-7.08
-51.42,-1.06,-7.59
-51.6,-1.12,-8.16
-51.81,-1.1,-8.77
-52.05,-1.03,-9.38
-52.36,-0.94,-9.98
-52.73,-0.85,-10.57
-53.19,-0.8,-11.16
-53.74,-0.83,-11.74
-54.39,-0.94,-12.32
-55.11,-1.12,-12.89
-55.88,-1.36,-13.43
-56.68,-1.64,-13.94
-57.48,-1.93,-14.4
-58.3,-2.24,-14.8
-59.11,-2.51,-15.15
-59.93,-2.74,-15.44
-60.76,-2.94,-15.69
-61.6,-3.14,-15.9
-62.44,-3.34,-16.08
-63.27,-3.55,-16.25
-64.1,-3.77,-16.39
-82.47,3.49,-0.76
-81.96,3.73,0.26
-81.36,3.94,1.25
-80.67,4.12,2.17
-79.96,4.3,3.01
