yaw,pitch,roll
-57.16,-8.97,-3.4
-57.43,-9.75,-4.44
-57.57,-10.5,-5.49
-57.58,-11.21,-6.56
-57.43,-11.88,-7.64
-57.15,-12.49,-8.72
-62.6,-24.17,-8.49
-63.88,-23.99,-6.98
-65.28,-23.67,-5.54
-66.81,-23.2,-4.19
-68.45,-22.52,-2.94
-70.16,-21.64,-1.79
-71.89,-20.57,-0.72
-73.67,-19.3,0.33
-75.53,-17.82,1.43
-77.5,-16.19,2.62
-79.6,-14.51,3.85
-81.79,-12.82,5.09
-83.99,-11.22,6.18
-86.07,-9.79,7.03
-87.95,-8.57,7.58
-89.61,-7.5,7.8
-91.11,-6.52,7.7
-92.46,-5.61,7.28
-93.72,-4.79,6.57
-94.98,-4.04,5.62
-96.29,-3.4,4.46
-97.65,-2.94,3.17
-99.02,-2.64,1.78
-100.38,-2.52,0.33
-101.71,-2.56,-1.14
-102.98,-2.76,-2.63
-104.17,-3.14,-4.08
-105.27,-3.65,-5.53
-106.26,-4.24,-6.96
-107.15,-4.87,-8.39
-107.92,-5.54,-9.83
-108.59,-6.2,-11.29
-82.48,-5.93,-25.16
-80.99,-4.82,-22.73
-79.47,-3.64,-19.84
-77.92,-2.37,-16.52
-76.27,-1.02,-12.83
-74.41,0.28,-8.78
-72.25,1.39,-4.45
-69.71,2.21,0.13
-66.81,2.64,4.76
-63.6,2.61,9.24
-60.25,2.09,13.36
-57.01,1.17,16.9
-54.18,0.08,19.67
-51.91,-1.01,21.59
-50.26,-1.97,22.74
-49.09,-2.78,23.25
-48.33,-3.48,23.25
-47.9,-4.1,22.81
-47.79,-4.63,22.03
-47.94,-5.1,21.04
-48.29,-5.53,19.96
-48.8,-5.96,19.03
-49.42,-6.38,18.26
-50.05,-6.75,17.66
-50.62,-7.0,17.16
-51.1,-7.1,16.74
-51.52,-7.04,16.36
-51.87,-6.84,16.02
-52.14,-6.52,15.84
-52.33,-6.03,15.85
-52.47,-5.47,16.03
-52.57,-4.98,16.17
-52.6,-4.54,16.06
-52.61,-4.17,15.75
-51.97,-1.28,7.13
-51.99,-1.34,7.18
-52.0,-1.41,7.22
-52.02,-1.48,7.24
-52.03,-1.56,7.24
-52.04,-1.62,7.21
-52.05,-1.67,7.17
-52.06,-1.69,7.1
-52.07,-1.71,7.03
-52.07,-1.73,6.95
-52.06,-1.74,6.87
-52.05,-1.75,6.78
-52.05,-1.75,6.69
-52.05,-1.73,6.6
-52.05,-1.72,6.49
-52.05,-1.7,6.39
-52.05,-1.69,6.29
-52.04,-1.68,6.19
-52.02,-1.68,6.1
-52.0,-1.69,6.02
-51.98,-1.69,5.94
-51.96,-1.7,5.88
-51.95,-1.7,5.81
-51.94,-1.71,5.75
-51.94,-1.72,5.7
-51.94,-1.73,5.65
-51.95,-1.75,5.61
-51.94,-1.76,5.56
