yaw,pitch,roll
-97.33,-4.43,-6.01
-97.55,-4.45,-5.99
-97.75,-4.47,-5.98
-97.96,-4.5,-5.97
-98.21,-4.54,-5.97
-112.73,-6.37,-2.14
-113.25,-6.21,-2.02
-113.66,-6.05,-1.98
-113.99,-5.89,-1.98
-114.27,-5.73,-1.99
-114.51,-5.62,-1.98
-114.69,-5.51,-1.94
-114.83,-5.38,-1.88
-114.92,-5.25,-1.82
-114.99,-5.12,-1.74
-115.03,-5.02,-1.64
-115.04,-4.95,-1.53
-114.99,-4.9,-1.42
-114.91,-4.85,-1.3
-114.77,-4.79,-1.21
-114.57,-4.73,-1.13
-114.31,-4.67,-1.04
-114.0,-4.62,-0.94
-113.7,-4.55,-0.85
-113.41,-4.48,-0.78
-113.18,-4.4,-0.72
-112.99,-4.33,-0.68
-112.82,-4.26,-0.65
-112.64,-4.2,-0.62
-112.47,-4.13,-0.59
-112.29,-4.05,-0.54
-112.1,-3.99,-0.48
-111.9,-3.93,-0.42
-111.71,-3.87,-0.37
-111.52,-3.82,-0.32
-94.49,-3.44,4.99
-93.5,-3.4,4.89
-92.47,-3.36,4.77
-91.42,-3.34,4.65
-90.33,-3.31,4.55
-89.22,-3.29,4.49
-88.09,-3.27,4.44
-86.97,-3.25,4.42
-85.86,-3.22,4.42
-84.75,-3.17,4.4
-83.65,-3.14,4.39
-82.55,-3.11,4.36
-81.42,-3.09,4.31
-80.29,-3.06,4.23
-79.14,-3.04,4.14
-77.97,-3.02,4.04
-76.78,-3.01,3.94
-75.6,-3.02,3.85
-74.41,-3.0,3.77
-73.23,-2.98,3.7
-72.06,-2.92,3.63
-70.9,-2.83,3.54
-69.76,-2.72,3.42
-68.64,-2.6,3.27
-67.55,-2.49,3.11
-66.49,-2.41,2.93
-65.47,-2.35,2.76
-64.47,-2.29,2.59
-63.5,-2.23,2.43
-62.57,-2.17,2.26
-61.67,-2.09,2.1
-60.81,-2.0,1.91
-60.0,-1.89,1.71
-59.24,-1.78,1.49
-58.52,-1.67,1.23
-57.84,-1.56,0.98
-43.61,2.96,-0.16
-43.6,3.23,0.13
-43.61,3.51,0.46
-43.61,3.76,0.81
-43.58,3.99,1.16
-43.5,4.21,1.49
-43.38,4.43,1.78
-43.22,4.75,2.05
-43.08,5.58,2.31
-43.08,7.07,2.81
-43.21,8.4,3.3
-43.23,8.89,3.3
-43.08,8.5,2.95
-42.92,7.6,2.46
-42.85,6.68,1.82
-42.89,6.05,1.01
-42.98,5.78,0.12
-43.06,5.77,-0.69
-43.11,5.83,-1.28
-43.11,5.91,-1.54
-43.07,5.98,-1.43
-42.99,6.09,-1.01
-42.88,6.21,-0.41
-42.73,6.31,0.25
-42.57,6.38,0.83
-42.43,6.4,1.3
-42.31,6.35,1.6
-42.24,6.23,1.74
-42.21,6.03,1.71
