yaw,pitch,roll
-17.64,-4.6,-4.65
-17.62,-4.56,-4.68
-17.6,-4.51,-4.72
-17.57,-4.47,-4.76
-17.55,-4.43,-4.8
-17.52,-4.39,-4.85
-17.5,-4.35,-4.89
-17.47,-4.31,-4.94
-17.46,-4.28,-4.99
-17.45,-4.26,-5.03
-17.44,-4.24,-5.07
-17.44,-4.22,-5.1
-17.43,-3.27,-6.29
-17.42,-3.25,-6.31
-17.42,-3.22,-6.33
-17.43,-3.19,-6.33
-17.43,-3.17,-6.34
-17.43,-3.16,-6.35
-17.43,-3.16,-6.37
-17.42,-3.16,-6.4
-17.4,-3.17,-6.43
-17.39,-3.16,-6.46
-17.39,-3.16,-6.51
-17.4,-3.16,-6.55
-17.43,-3.16,-6.6
-17.47,-3.17,-6.64
-17.49,-3.17,-6.66
-17.53,-3.18,-6.68
-17.55,-3.18,-6.7
-17.57,-3.18,-6.7
-17.59,-3.17,-6.71
-17.61,-3.16,-6.72
-17.62,-3.15,-6.72
-17.64,-3.13,-6.72
-17.66,-3.12,-6.71
-17.7,-3.1,-6.7
-17.73,-3.06,-6.68
-17.79,-3.02,-6.67
-17.88,-2.97,-6.65
-17.98,-2.92,-6.64
-18.14,-2.88,-6.62
-18.33,-2.82,-6.6
-18.57,-2.77,-6.61
-18.87,-2.71,-6.63
-19.23,-2.65,-6.7
-49.34,0.89,-16.84
-50.18,1.14,-16.9
-51.03,1.35,-16.92
-51.87,1.52,-16.92
-52.71,1.64,-16.88
-53.52,1.71,-16.81
-54.31,1.76,-16.68
-55.07,1.81,-16.52
-55.8,1.89,-16.33
-56.49,2.02,-16.14
-57.13,2.19,-15.94
-57.74,2.38,-15.74
-58.33,2.59,-15.52
-58.91,2.8,-15.28
-59.45,3.03,-15.04
-59.96,3.28,-14.78
-60.42,3.54,-14.49
-60.84,3.8,-14.18
-61.21,4.02,-13.83
-61.54,4.2,-13.45
-61.85,4.4,-13.05
-62.12,4.59,-12.6
-62.34,4.71,-12.11
-62.5,4.78,-11.64
-62.62,4.85,-11.24
-62.71,4.92,-10.89
-62.79,5.0,-10.61
-62.9,5.06,-10.37
-63.0,5.07,-10.19
-63.11,5.06,-10.05
-63.23,5.02,-9.93
-63.33,4.96,-9.81
-63.41,4.88,-9.7
-67.27,-2.75,-7.22
-68.11,-3.64,-7.12
-69.15,-4.61,-6.99
-70.42,-5.6,-6.82
-71.94,-6.61,-6.63
-73.71,-7.6,-6.43
-75.69,-8.57,-6.22
-77.85,-9.53,-6.03
-80.15,-10.52,-5.86
-82.52,-11.48,-5.68
-84.95,-12.38,-5.49
-87.37,-13.15,-5.28
-89.7,-13.69,-5.14
-91.85,-13.99,-5.07
-93.7,-14.08,-5.1
-95.13,-14.01,-5.28
-95.92,-13.93,-5.63
-95.84,-13.87,-6.21
-94.73,-13.72,-7.03
-92.59,-13.35,-8.07
-89.37,-12.76,-9.17
-85.02,-12.03,-10.18
